MOVIE_ID,NAME,GENRES,STORYLINE,TAGS
30451909,蜘蛛头,科幻,Netflix继续壮大自己的内容创作团队，邀请《壮志凌云2：马弗里克》的导演约瑟夫·科辛斯基执导旗下科幻新片《蜘蛛头》。《蜘蛛头》的故事发生在近未来，罪犯可以通过自愿申请成为医学研究对象，以缩短刑期。一位犯人发现自己身上试验的药物，能够产生有爱意的情感触动，他开始质疑现实中人们的情感，并试图寻找真相。,科幻/美国电影/改编/待看
26928336,爱回家,剧情,作为一部公益电影，它在关注农村留守儿童的同时，第一次把视觉转向那些虽身在城市，物质生活充裕，但较少得到父母关心照顾的儿童，呼吁社会给予关注。,纪录片
30206878,哈利路亚！,喜剧,拉尔夫·费因斯将加盟克里斯·艾迪生(《副总统》)执导的复古喜剧[哈利路亚！](Hallelujah!，暂译)，饰演作曲家格奥尔格·弗里德里希·亨德尔。影片表述方式将类似[莎翁情史]，展现亨德尔经典作品《弥赛亚》那场宏大却混乱的首演。本片预计2019年初开机，并将率先于今年戛纳电影节销售发行权。,拉尔夫·费因斯/喜剧/RalphFiennes
25897280,再青春,爱情,新浪娱乐讯 去年赵薇[微博]执导的《致青春》席卷内地7亿票房，现在《致青春》原著的作者辛夷坞又启动《再青春》，期待青春精神的延续，同时网传黄晓明[微博]有望出演，和老同学、好闺蜜赵薇合作。,黃曉明/再青春/中国电影
3317140,警察学校8,喜剧/犯罪,The eighth installment of the 'Police Academy' 77mi.cc comedy franchise.,警察学校/搞笑/喜剧/英语发音，中文字幕
25897290,网络风云,传记,以中国首部互联网+商战小说《网络英雄传I：艾尔斯巨岩之约》为故事蓝本，由东海电影集团打造的中国首部互联网创业大电影。,
30383181,Depraved,恐怖,"Two Brothers travel back home with the company of their loved ones for the passing of their Mother. Once there, they are soon confronted by their Cousins with dangerous intentions that lead into a night of bloodshed in order to survive.",
26998133,江湖郎中,剧情,阿格涅丝卡·霍兰([糜骨之壤])新片[江湖郎中](Charlatan，暂译)正式开拍，该片由伊凡·特洛伊(Ivan Trojan)、弗兰迪斯科·特洛伊(František Trojan)主演。影片故事根据草药医生Jan Mikolášek的真实故事改编，讲述尽管困难重重，他还是毕生致力于照料病人。该片计划于明年2月20日首映。,m2018
30383582,Devils Night,惊悚/恐怖,,
33399972,铃儿响叮当,歌舞,休·博纳维尔将出演Netflix首部真人原创音乐片[铃儿响叮当](Jingle Jangle，暂译)。本片卡司还有福里斯特·惠特克、 科甘-迈克尔·凯、菲利西亚·拉斯海德、阿尼卡·诺尼·罗斯，讲述一家玩具制造商(惠特克饰)努力使他的神奇新发明能在圣诞节前发挥作用，永远改变生活的故事。影片定于2020年北美上映。,美国电影/歌舞/剧情
3279111,The Last Dragon,动作/冒险,"In order to be ""The Last Dragon"", a young martial arts student in New York trains to become a great fighter like Bruce Lee, but first he must face off against one mean, bad dude known as Sho'nuff, the Shogun of Harlem.",电影/12
30447648,虎胆杀机,动作/惊悚/犯罪,"A former paramedic gets injured after she witnesses a crossfire involving two corrupt cops. Dispatched to hospital, the woman must survive the night as the men hunt her down. Luckily, a veteran cop is assigned to protect her, and he becomes her protector as the night grows more dangerous.",
